RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 6.308, 90.552, 0.385, 7.155, 8.252, 
1, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -144.193, 144.193, 3244.033, 0.038, 0.700, 1.254, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 4.868, 72.466, 0.387, 7.166, 8.249, 
1, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -5.008, 5.008, 70.700, 0.374, 6.965, 8.099, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 9.204, 781.265, 0.302, 5.588, 7.053, 
1, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -54.682, 54.682, 1248.799, 0.073, 1.360, 2.349, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 1.186, 12.307, 0.406, 7.449, 8.954, 
1, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -1.191, 1.191, 12.333, 0.407, 7.462, 8.951, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 29.746, 613.097, 0.184, 3.415, 5.032, 
1, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -201.681, 201.681, 4588.830, 0.027, 0.497, 0.893, 
1, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 8.175, 127.818, 0.346, 6.401, 7.698, 
1, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -143.000, 143.000, 3219.868, 0.038, 0.704, 1.262, 
1, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 5.493, 72.887, 0.406, 7.519, 8.482, 
1, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -128.991, 128.991, 2951.393, 0.040, 0.747, 1.338, 
1, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 3.403, 55.330, 0.379, 7.010, 8.162, 
1, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 180, 0.5, 0.99, 0.2, diff-waiting-time, -2.428, 2.428, 28.068, 0.424, 7.838, 8.835, 
