RunNo, ExperimentNo, Scenario, Type, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
3, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.972, 122.042, 0.348, 6.473, 7.754, 
3, DE-1, ../nets/roundabout/input_routes_roundabout_auto_v1-1.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -144.046, 144.046, 3240.911, 0.038, 0.709, 1.265, 
3, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 4.798, 67.811, 0.389, 7.214, 8.280, 
3, DE-2, ../nets/roundabout/input_routes_roundabout_auto_v1-2.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -5.510, 5.510, 81.783, 0.360, 6.697, 7.917, 
3, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 7.209, 459.409, 0.330, 6.134, 7.517, 
3, DE-3, ../nets/roundabout/input_routes_roundabout_auto_v1-3.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -52.786, 52.786, 1205.129, 0.075, 1.395, 2.406, 
3, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 2.140, 104.239, 0.360, 6.620, 8.098, 
3, DE-4, ../nets/roundabout/input_routes_roundabout_auto_v1-4.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -1.198, 1.198, 12.352, 0.405, 7.459, 8.961, 
3, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.001, 22.169, 441.267, 0.224, 4.159, 5.804, 
3, DE-5, ../nets/roundabout/input_routes_roundabout_auto_v1-5.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -201.620, 201.620, 4587.431, 0.027, 0.495, 0.891, 
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 6.782, 95.858, 0.374, 6.933, 8.074, 
3, DE-6, ../nets/roundabout/input_routes_roundabout_auto_v1-6.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -143.521, 143.521, 3231.695, 0.038, 0.704, 1.260, 
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -0.000, 10.560, 428.540, 0.307, 5.708, 7.130, 
3, DE-7, ../nets/roundabout/input_routes_roundabout_auto_v1-7.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -124.038, 124.038, 2837.818, 0.042, 0.774, 1.384, 
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, testing, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, 0.000, 2.807, 36.289, 0.402, 7.433, 8.579, 
3, DE-8, ../nets/roundabout/input_routes_roundabout_auto_v1-8.rou.xml, baseline, -, 380, 0.5, 0.99, 0.2, diff-waiting-time, -2.807, 2.807, 36.289, 0.402, 7.433, 8.579, 
